Thumbnail,Track Name,Author Time,Top Time,10k Time,Top Time % Difference,10k Time % Difference,Top Time Difference,10k Time Difference,Completed
https://prod.trackmania.core.nadeo.online/storageObjects/9fad936a-7dae-464b-b68b-a39638f48f17.jpg,Fall 2022 - 2,19.455,18.688,18.925,2.72,3.94,0.5299999999999976,0.7669999999999995,False
https://prod.trackmania.core.nadeo.online/storageObjects/a21ae508-5120-482c-bbb7-e07809059d3c.jpg,Fall 2022 - 3,21.651,20.105,20.831,3.79,7.14,0.8200000000000003,1.5459999999999994,False
https://prod.trackmania.core.nadeo.online/storageObjects/e857e87e-ce51-4ac6-82b8-5cf4206abaf7.jpg,Fall 2022 - 4,30.058,28.598,29.313,2.48,4.86,0.745000000000001,1.4600000000000009,False
https://prod.trackmania.core.nadeo.online/storageObjects/56d5863a-8466-4074-ab04-3a12f0850310.jpg,Fall 2022 - 5,23.61,22.568,23.224,1.63,4.41,0.38599999999999923,1.041999999999998,False
https://prod.trackmania.core.nadeo.online/storageObjects/222c516f-2484-45d8-a41a-345094876901.jpg,Fall 2022 - 6,29.854,27.571,29.068,2.63,7.65,0.7859999999999978,2.2829999999999977,False
https://prod.trackmania.core.nadeo.online/storageObjects/a9d5a3d7-3fda-4bbf-9d76-3a092ea696c6.jpg,Fall 2022 - 7,28.808,26.485,27.774,3.59,8.06,1.033999999999999,2.3230000000000004,False
https://prod.trackmania.core.nadeo.online/storageObjects/2b8f6081-05f6-4135-8143-4856e1710697.jpg,Fall 2022 - 8,28.442,26.913,27.93,1.8,5.38,0.5120000000000005,1.529,False
https://prod.trackmania.core.nadeo.online/storageObjects/3ec1142a-4fcf-4d43-a236-9495df22414f.jpg,Fall 2022 - 9,28.891,27.286,28.453,1.52,5.56,0.43799999999999883,1.6049999999999969,False
https://prod.trackmania.core.nadeo.online/storageObjects/2f1565b9-46ab-4147-8f7d-a6de28668b98.jpg,Fall 2022 - 10,31.204,28.914,30.161,3.34,7.34,1.0429999999999993,2.289999999999999,False
https://prod.trackmania.core.nadeo.online/storageObjects/815ee551-f083-4c00-870b-3d56fb1c4d3e.jpg,Fall 2022 - 11,39.852,36.218,39.404,1.12,9.12,0.4479999999999933,3.6339999999999932,False
https://prod.trackmania.core.nadeo.online/storageObjects/2afffd02-68f9-4974-9d34-4bfc13a0b398.jpg,Fall 2022 - 12,43.498,40.746,43.191,0.71,6.33,0.30699999999999505,2.7519999999999953,False
https://prod.trackmania.core.nadeo.online/storageObjects/479c3d26-e055-4e4a-8a4a-fcfdc1d6d15b.jpg,Fall 2022 - 13,38.367,34.971,37.8,1.48,8.85,0.5670000000000002,3.396000000000001,False
https://prod.trackmania.core.nadeo.online/storageObjects/b84d3a7e-a957-4217-898f-dacddf79502b.jpg,Fall 2022 - 14,38.284,35.302,37.457,2.16,7.79,0.8269999999999982,2.9819999999999993,False
